eventID,measurementType,measurementValue,measurementUnit
1f8339bf-caa7-4201-93f3-45b9f9d0e470,estimated covered area,100,m²
1fcf8712-5a08-48e8-ac95-3480a4320441,estimated covered area,25,m²
2002b60a-8a24-45b1-850c-449521f02b96,coverage,70,%
2002b60a-8a24-45b1-850c-449521f02b96,estimated covered area,200,m²
204691a1-4df5-4fd0-868d-63300b3ebcc3,coverage,20,%
204691a1-4df5-4fd0-868d-63300b3ebcc3,estimated covered area,2000,m²
205e6900-dd40-4dc0-a975-f3ca9378cff9,coverage,20,%
205e6900-dd40-4dc0-a975-f3ca9378cff9,estimated covered area,50,m²
2090e689-fe0f-468d-9f0a-e0db6140bb7c,estimated covered area,200,m²
20cd3e18-1fc7-4f0e-b6be-3b80254e3426,coverage,100,%
20cd3e18-1fc7-4f0e-b6be-3b80254e3426,estimated covered area,10,m²
20dc51cc-7e0c-4e08-b4ec-06f8032a501e,coverage,30,%
20dc51cc-7e0c-4e08-b4ec-06f8032a501e,estimated covered area,6,m²
20df566f-af05-4070-aa59-7cf3e209d232,estimated covered area,20,m²
20edc6ba-6172-4ab6-8939-b24e2c1f11bc,estimated covered area,20,m²
21073737-78f7-4cb9-9575-0d5b41065a71,coverage,0,%
21073737-78f7-4cb9-9575-0d5b41065a71,estimated covered area,20,m²
2161f0d9-17d3-42be-9e7f-9878117bc332,estimated covered area,50,m²
